Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
88,Broadcom,Technology,52432,46.4%,37000,"Palo Alto, California"
89,Deere,Agriculture manufacturing,51716,-15.6%,55524,"Moline, Illinois"
90,Nike,Apparel,51361,0.3%,78400,"Beaverton, Oregon"
91,Liberty Mutual Insurance Group,Insurance,50429,-4.1%,40000,"Boston, Massachusetts"
92,Plains GP Holdings,Petroleum industry,50073,2.8%,4200,"Houston, Texas"
93,USAA,Insurance,48560,14.3%,38018,"San Antonio, Texas"
94,Bristol-Myers Squibb,Pharmaceutical industry,48300,7.3%,34100,"New York City, New York"
95,Ingram Micro Holding,Technology,47984,-0.1%,26125,"Irvine, California"
96,General Dynamics,Aerospace and defense,47716,12.9%,117000,"Reston, Virginia"
97,Coca-Cola,Beverage,47061,2.9%,69700,"Atlanta, Georgia"
98,TIAA,Financials,46946,2.6%,15623,"New York City, New York"
99,Travelers,Insurance,46423,12.2%,34000,"New York City, New York"
100,Eli Lilly,Pharmaceutical industry,45043,32.0%,47000,"Indianapolis, Indiana"
